Home_Goals,Away_Goals,Home_Pos,Away_Pos,Home_Shots,Away_Shots,Home_Shots_On,Away_Shots_On,Home_Fouls,Away_Fouls,Home_Off,Away_Off,Home_Corners,Away_Corners
2,1,59,41,16,8,3,3,12,7,2,1,9,0
2,1,40,60,14,14,6,7,12,11,1,2,5,8
0,0,44,56,10,10,4,2,5,17,4,3,3,4
0,1,51,49,10,11,3,3,13,9,1,3,1,2
0,2,54,46,9,7,2,5,9,8,1,3,5,3
5,0,50,50,15,6,9,1,11,9,1,0,8,2
1,4,25,75,4,19,1,8,5,11,4,1,0,7
0,0,72,28,20,5,2,1,7,14,2,2,9,2
2,0,61,39,13,13,3,5,11,10,3,3,4,0
0,1,63,37,17,9,2,2,8,13,0,2,5,1
1,1,43,57,8,16,3,7,15,5,2,0,3,8
0,0,52,48,14,6,4,1,17,13,0,1,4,3
1,1,78,22,22,3,5,2,7,10,2,0,10,0
2,2,38,62,13,9,6,3,12,5,1,2,7,4
0,2,44,56,13,13,2,4,9,8,1,3,8,5
1,0,56,44,9,9,1,2,10,11,4,1,4,6
0,0,54,46,11,6,3,2,10,10,3,2,11,3
5,0,83,17,19,4,12,1,6,8,4,1,6,1
1,1,36,64,8,16,5,6,6,5,0,0,3,5
4,1,68,32,20,11,8,4,11,9,1,1,8,6
2,1,28,72,8,15,4,3,11,9,1,2,2,5
3,0,62,38,20,6,7,1,9,9,4,4,7,5
3,2,50,50,15,12,8,3,12,16,3,1,5,6
2,3,42,58,10,17,7,5,13,14,1,2,4,7
1,1,51,49,17,12,7,3,10,11,1,0,6,3
2,1,39,61,8,15,3,6,9,10,0,1,4,8
1,3,48,52,8,17,3,6,11,12,5,1,5,7
1,1,62,38,18,11,6,7,15,21,5,3,10,1
1,0,49,51,9,4,1,2,9,8,2,1,9,6
0,1,70,30,14,10,4,4,8,13,4,1,4,4
1,2,60,40,14,7,5,4,18,12,3,2,11,1
2,2,53,47,21,13,5,6,8,9,3,1,11,3
1,1,41,59,13,15,4,5,13,7,3,3,5,3
0,0,38,62,6,10,1,3,12,7,4,1,3,2
2,3,65,35,20,5,6,4,17,9,0,2,8,4
1,2,66,34,8,8,1,4,7,14,3,3,7,5
3,2,65,35,13,15,7,8,11,7,1,2,8,6
1,1,52,48,15,7,3,1,15,5,6,1,6,1
1,2,33,67,10,15,4,4,19,8,2,3,6,3
1,1,59,41,23,5,6,2,7,11,2,2,10,6
2,2,50,50,16,13,5,6,16,6,3,4,7,4
